"","hour.1","hour.2","hour.3","hour.4","hour.5","hour.6","hour.7","hour.8","hour.9","hour.10","hour.11","hour.12","hour.13","hour.14","hour.15","hour.16","hour.17","hour.18","hour.19","hour.20","hour.21","hour.22","hour.23","hour.24","total"
"2023-08-21",0,2,1,0,0,5,8,20,5,7,2,2,2,3,5,3,2,3,1,0,2,2,2,0,77
"2023-08-22",0,0,0,0,0,0,7,7,14,7,1,4,1,3,3,14,16,12,6,3,2,4,0,0,104
"2023-08-23",0,0,0,0,0,1,8,4,11,8,2,2,8,6,2,8,16,7,8,3,4,0,0,0,98
"2023-08-24",0,0,0,0,0,2,8,5,8,3,7,6,5,7,6,4,8,5,4,0,0,2,2,0,82
"2023-08-25",1,0,2,0,0,0,1,2,11,2,7,3,0,7,14,4,11,12,13,12,0,4,0,0,106
"2023-08-26",0,0,2,2,0,2,4,2,3,9,7,8,6,7,9,9,14,4,2,2,1,2,0,0,95
"2023-08-27",0,0,0,0,0,1,2,0,0,1,2,0,0,7,4,8,3,2,7,2,2,6,2,0,49
"2023-08-28",0,2,2,0,1,2,8,10,9,7,3,2,1,7,5,3,10,4,10,2,2,0,0,0,90
"2023-08-29",0,0,0,0,0,0,7,9,4,1,3,4,2,3,5,11,7,10,5,1,0,2,0,0,74
"2023-08-30",0,0,0,0,0,1,11,4,6,3,3,0,0,2,0,4,6,6,3,3,1,0,0,0,53
"2023-08-31",0,0,0,0,0,4,4,4,0,9,0,1,2,9,3,4,5,3,2,0,2,0,0,0,52
"2023-09-01",1,0,1,0,0,2,13,7,4,4,2,0,3,5,2,12,14,18,12,4,1,3,4,0,112
"2023-09-02",2,1,0,0,0,1,1,0,4,7,9,5,1,3,3,2,1,1,3,2,0,1,3,0,50
"2023-09-03",0,1,0,0,1,1,1,0,0,0,0,1,3,1,2,2,1,1,1,3,0,1,3,0,23
"2023-09-04",0,2,1,0,0,4,3,5,2,2,1,2,3,3,1,2,0,6,3,0,2,1,3,0,46
"2023-09-05",0,0,0,0,2,1,5,3,2,2,2,0,2,8,3,7,6,7,3,1,0,0,0,0,54
"2023-09-06",0,1,1,0,1,1,7,10,5,2,1,4,6,9,8,14,9,11,6,6,3,1,1,0,107
"2023-09-07",0,0,0,0,1,1,2,5,4,5,2,2,0,0,3,6,3,11,7,2,1,1,2,0,58
"2023-09-08",0,1,1,0,2,0,2,3,4,1,2,4,5,10,12,10,15,8,18,6,4,5,3,0,116
"2023-09-09",2,3,1,1,1,1,1,4,3,9,7,5,4,5,6,8,10,4,3,2,0,4,3,0,87
"2023-09-10",0,4,1,0,1,1,0,1,2,4,4,5,6,7,14,17,8,8,6,8,7,0,1,0,105
"2023-09-11",0,0,0,0,1,2,6,11,3,3,0,1,1,1,3,1,5,4,4,0,0,1,0,0,47
"2023-09-12",0,1,0,0,0,2,6,6,2,3,1,1,2,1,0,3,0,5,2,1,2,0,0,0,38
"2023-09-13",0,0,0,0,1,0,5,10,4,4,5,1,3,0,2,0,4,4,2,3,1,3,1,0,53
"2023-09-14",0,0,1,1,0,0,7,5,2,5,1,2,1,4,2,3,6,3,0,2,0,1,0,0,46
"2023-09-15",1,0,0,0,0,0,2,5,0,3,3,5,1,4,4,4,11,9,11,4,3,1,0,0,71
"2023-09-16",0,0,1,0,1,1,6,5,6,12,10,7,10,6,9,4,4,3,3,3,1,3,0,0,95
"2023-09-17",0,0,0,0,0,0,0,0,0,3,1,1,0,6,13,7,11,6,4,6,7,2,0,0,67
"2023-09-18",0,0,0,1,0,0,4,9,7,3,1,0,0,4,4,4,8,3,2,1,1,1,1,0,54
"2023-09-19",0,1,1,0,0,0,5,8,8,6,3,2,2,1,5,4,4,5,5,0,0,1,1,0,62
"2023-09-20",1,0,0,0,0,1,5,4,6,6,2,1,2,2,7,6,1,5,2,0,0,0,0,0,51
"2023-09-21",0,0,0,0,0,1,4,6,8,4,1,4,2,0,3,2,9,2,3,0,0,0,1,0,50
"2023-09-22",0,0,0,1,0,2,7,5,4,2,1,2,1,6,2,7,5,11,3,0,1,0,1,0,61
"2023-09-23",0,0,1,0,1,0,1,0,4,6,11,4,3,5,7,5,5,10,8,0,1,2,0,0,74
"2023-09-24",0,1,0,1,0,0,1,0,2,1,3,2,0,2,5,6,7,3,1,4,0,0,0,0,39
"2023-09-25",0,0,0,0,1,3,6,9,7,1,2,2,1,5,5,9,4,9,4,2,2,3,1,0,76
"2023-09-26",0,0,0,0,0,0,4,4,11,8,3,1,5,6,4,8,7,3,5,1,1,2,2,0,75
"2023-09-27",0,1,1,0,0,0,6,6,6,4,4,3,2,6,3,3,8,9,8,0,0,0,0,0,70
"2023-09-28",0,0,1,2,0,1,4,2,1,0,3,4,5,5,13,13,13,20,12,8,0,5,1,0,113
"2023-09-29",0,0,2,0,2,3,2,2,6,9,12,2,3,10,5,7,5,3,3,1,1,0,1,0,79
"2023-09-30",2,0,1,0,0,0,0,1,2,2,4,0,0,6,10,10,2,2,2,2,1,0,0,0,47
"2023-10-01",2,0,0,1,0,0,1,1,1,3,6,5,5,12,14,11,10,10,6,9,7,3,2,0,109
"2023-10-02",0,0,0,0,0,1,7,3,3,1,3,3,3,5,7,3,3,9,6,0,1,1,0,0,59
"2023-10-03",2,1,0,0,2,0,4,4,1,4,2,1,1,1,2,4,3,9,5,2,2,3,1,0,54
"2023-10-04",1,0,0,0,2,0,3,10,5,5,4,2,2,2,7,6,3,12,5,2,1,1,1,0,74
"2023-10-05",2,0,3,1,1,1,2,6,4,0,0,0,3,0,1,0,0,4,1,1,2,1,0,0,33
"2023-10-06",0,0,0,0,0,1,1,4,3,3,8,0,4,6,10,12,19,22,12,4,2,1,0,0,112
"2023-10-07",0,1,0,0,1,0,1,5,5,8,10,6,2,5,4,2,5,10,2,3,1,6,4,0,81
"2023-10-08",1,0,0,0,2,0,0,3,11,6,10,2,4,6,1,8,7,5,3,1,2,0,0,0,72
"2023-10-09",0,1,0,1,0,1,0,2,3,4,7,2,4,2,9,6,6,11,3,4,1,1,2,0,70
"2023-10-10",1,0,0,0,0,0,0,1,0,0,0,0,3,5,5,4,6,2,0,0,2,0,1,0,30
"2023-10-11",2,0,0,2,0,3,6,4,7,1,3,0,3,2,4,1,7,9,3,3,1,1,1,0,63
"2023-10-12",0,0,2,0,0,0,5,5,7,6,1,1,2,5,3,2,2,9,3,1,2,2,1,0,59
"2023-10-13",0,1,1,0,0,0,2,6,2,2,0,0,2,4,2,7,7,11,7,2,1,2,2,0,61
"2023-10-14",0,0,0,0,0,0,0,1,5,4,5,4,2,2,3,4,3,8,1,0,0,1,1,0,44
"2023-10-15",0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,9,6,3,1,1,0,1,0,27
"2023-10-16",0,0,0,1,1,2,1,6,1,0,0,1,0,3,3,1,5,8,2,1,0,1,0,0,37
"2023-10-17",0,1,0,0,0,0,2,7,7,5,3,1,0,1,2,1,5,8,3,1,0,3,0,0,50
"2023-10-18",0,0,0,0,0,2,5,7,5,4,4,3,1,3,2,7,9,9,4,0,2,0,0,0,67
"2023-10-19",1,0,0,1,0,1,4,6,5,5,2,2,0,4,1,3,10,9,3,1,1,1,2,0,62
"2023-10-20",0,0,0,0,0,1,2,7,2,2,2,0,2,8,5,3,8,14,11,5,5,3,1,0,81
"2023-10-21",1,0,1,0,0,0,0,0,5,5,6,6,4,5,5,2,4,9,0,1,3,0,2,0,59
"2023-10-22",0,1,0,0,0,0,1,0,0,1,1,3,3,2,9,6,7,9,2,3,3,0,0,0,51
"2023-10-23",0,0,0,0,0,1,6,6,3,5,2,3,3,2,4,3,8,6,5,1,0,0,0,0,58
"2023-10-24",0,0,1,0,0,0,6,7,3,1,4,4,1,2,2,1,5,9,1,1,0,1,1,0,50
"2023-10-25",1,0,0,0,0,1,5,4,8,5,3,0,2,1,1,2,2,8,3,1,1,0,0,0,48
"2023-10-26",0,0,0,0,0,0,7,6,2,3,3,1,3,6,2,4,7,7,4,0,1,0,1,0,57
"2023-10-27",2,0,0,0,0,1,4,2,4,4,6,4,3,5,5,4,8,17,7,3,0,2,0,0,81
"2023-10-28",0,0,0,0,1,1,1,2,2,2,10,7,1,2,1,9,7,2,2,1,4,3,0,0,58
"2023-10-29",0,0,0,0,0,1,0,0,0,0,0,2,3,3,3,6,4,9,2,8,1,1,1,0,44
"2023-10-30",0,0,0,0,0,0,1,1,5,1,1,2,1,2,2,1,2,4,1,2,1,0,0,0,27
"2023-10-31",0,0,0,0,0,0,2,0,2,2,5,1,1,1,1,2,1,5,1,0,0,2,1,0,27
